kind,price,pivot_bar,pivot_time,confirmed_bar,confirmed_at,delay_bars,basis
high,379.8,7,2023-05-19T09:22:00,12,2023-05-19T09:27:00,5,high-low
low,332.25,14,2023-05-19T09:29:00,19,2023-05-19T09:34:00,5,high-low
high,423.05,26,2023-05-19T09:41:00,31,2023-05-19T09:46:00,5,high-low
low,394.65,32,2023-05-19T09:47:00,37,2023-05-19T09:52:00,5,high-low
high,593.0,51,2023-05-19T10:06:00,56,2023-05-19T10:11:00,5,high-low
low,492.7,63,2023-05-19T10:18:00,68,2023-05-19T10:23:00,5,high-low
high,553.4,69,2023-05-19T10:24:00,74,2023-05-19T10:29:00,5,high-low
low,475.0,77,2023-05-19T10:32:00,82,2023-05-19T10:37:00,5,high-low
high,567.3,86,2023-05-19T10:41:00,91,2023-05-19T10:46:00,5,high-low
low,502.0,96,2023-05-19T10:51:00,101,2023-05-19T10:56:00,5,high-low
high,526.0,102,2023-05-19T10:57:00,107,2023-05-19T11:02:00,5,high-low
low,489.35,106,2023-05-19T11:01:00,111,2023-05-19T11:06:00,5,high-low
high,523.45,115,2023-05-19T11:10:00,120,2023-05-19T11:15:00,5,high-low
low,427.1,125,2023-05-19T11:20:00,130,2023-05-19T11:25:00,5,high-low
high,524.8,138,2023-05-19T11:33:00,143,2023-05-19T11:38:00,5,high-low
low,459.0,153,2023-05-19T11:48:00,158,2023-05-19T11:53:00,5,high-low
low,432.45,166,2023-05-19T12:01:00,171,2023-05-19T12:06:00,5,high-low
low,450.85,187,2023-05-19T12:22:00,192,2023-05-19T12:27:00,5,high-low
high,492.25,189,2023-05-19T12:24:00,194,2023-05-19T12:29:00,5,high-low
low,494.4,203,2023-05-19T12:38:00,208,2023-05-19T12:43:00,5,high-low
high,549.0,206,2023-05-19T12:41:00,211,2023-05-19T12:46:00,5,high-low
low,468.0,214,2023-05-19T12:49:00,219,2023-05-19T12:54:00,5,high-low
high,496.85,225,2023-05-19T13:00:00,230,2023-05-19T13:05:00,5,high-low
low,439.2,232,2023-05-19T13:07:00,237,2023-05-19T13:12:00,5,high-low
high,495.55,239,2023-05-19T13:14:00,244,2023-05-19T13:19:00,5,high-low
low,440.0,241,2023-05-19T13:16:00,246,2023-05-19T13:21:00,5,high-low
low,448.1,249,2023-05-19T13:24:00,254,2023-05-19T13:29:00,5,high-low
high,515.0,266,2023-05-19T13:41:00,271,2023-05-19T13:46:00,5,high-low
low,475.5,269,2023-05-19T13:44:00,274,2023-05-19T13:49:00,5,high-low
low,370.2,291,2023-05-19T14:06:00,296,2023-05-19T14:11:00,5,high-low
high,425.0,298,2023-05-19T14:13:00,303,2023-05-19T14:18:00,5,high-low
low,353.15,301,2023-05-19T14:16:00,306,2023-05-19T14:21:00,5,high-low
low,351.0,310,2023-05-19T14:25:00,315,2023-05-19T14:30:00,5,high-low
high,384.3,318,2023-05-19T14:33:00,323,2023-05-19T14:38:00,5,high-low
low,309.2,333,2023-05-19T14:48:00,338,2023-05-19T14:53:00,5,high-low
high,342.7,340,2023-05-19T14:55:00,345,2023-05-19T15:00:00,5,high-low
high,336.0,346,2023-05-19T15:01:00,351,2023-05-19T15:06:00,5,high-low
low,257.1,357,2023-05-19T15:12:00,362,2023-05-19T15:17:00,5,high-low
low,245.05,365,2023-05-19T15:20:00,370,2023-05-19T15:25:00,5,high-low
high,264.45,368,2023-05-19T15:23:00,373,2023-05-19T15:28:00,5,high-low
