kind,price,pivot_bar,pivot_time,confirmed_bar,confirmed_at,delay_bars,basis
high,369.0,3,2023-05-19T09:18:00,5,2023-05-19T09:20:00,2,close
low,357.65,5,2023-05-19T09:20:00,7,2023-05-19T09:22:00,2,close
high,378.9,6,2023-05-19T09:21:00,8,2023-05-19T09:23:00,2,close
high,362.35,9,2023-05-19T09:24:00,11,2023-05-19T09:26:00,2,close
low,336.2,13,2023-05-19T09:28:00,15,2023-05-19T09:30:00,2,close
high,358.6,17,2023-05-19T09:32:00,19,2023-05-19T09:34:00,2,close
low,351.65,18,2023-05-19T09:33:00,20,2023-05-19T09:35:00,2,close
high,417.45,27,2023-05-19T09:42:00,29,2023-05-19T09:44:00,2,close
low,401.3,32,2023-05-19T09:47:00,34,2023-05-19T09:49:00,2,close
high,503.6,41,2023-05-19T09:56:00,43,2023-05-19T09:58:00,2,close
low,490.85,43,2023-05-19T09:58:00,45,2023-05-19T10:00:00,2,close
high,541.95,47,2023-05-19T10:02:00,49,2023-05-19T10:04:00,2,close
high,570.95,50,2023-05-19T10:05:00,52,2023-05-19T10:07:00,2,close
low,552.5,52,2023-05-19T10:07:00,54,2023-05-19T10:09:00,2,close
high,567.6,55,2023-05-19T10:10:00,57,2023-05-19T10:12:00,2,close
low,505.1,57,2023-05-19T10:12:00,59,2023-05-19T10:14:00,2,close
low,494.7,63,2023-05-19T10:18:00,65,2023-05-19T10:20:00,2,close
high,536.0,65,2023-05-19T10:20:00,67,2023-05-19T10:22:00,2,close
low,522.0,67,2023-05-19T10:22:00,69,2023-05-19T10:24:00,2,close
high,547.8,69,2023-05-19T10:24:00,71,2023-05-19T10:26:00,2,close
low,486.2,78,2023-05-19T10:33:00,80,2023-05-19T10:35:00,2,close
high,554.7,86,2023-05-19T10:41:00,88,2023-05-19T10:43:00,2,close
low,515.55,91,2023-05-19T10:46:00,93,2023-05-19T10:48:00,2,close
high,520.8,93,2023-05-19T10:48:00,95,2023-05-19T10:50:00,2,close
low,506.5,98,2023-05-19T10:53:00,100,2023-05-19T10:55:00,2,close
