line_id,direction,basis,anchor1_bar,anchor1_time,anchor1_price,anchor2_bar,anchor2_time,anchor2_price,created_bar,created_at,slope_per_minute,tolerance_price,touch_count,touch_bars,touch_confirmed_bars,status,broken_bar,broken_at,end_bar,end_time,displayed
up-13-18,up,close,13,2023-05-19T09:28:00,336.2,18,2023-05-19T09:33:00,351.65,20,2023-05-19T09:35:00,3.0899999999999976,1.681,2,"[13, 18]","[15, 20]",broken,72,2023-05-19T10:27:00,72,2023-05-19T10:27:00,False
up-18-32,up,close,18,2023-05-19T09:33:00,351.65,32,2023-05-19T09:47:00,401.3,34,2023-05-19T09:49:00,3.546428571428574,1.7582499999999999,2,"[18, 32]","[20, 34]",broken,63,2023-05-19T10:18:00,63,2023-05-19T10:18:00,False
up-32-43,up,close,32,2023-05-19T09:47:00,401.3,43,2023-05-19T09:58:00,490.85,45,2023-05-19T10:00:00,8.140909090909092,2.0065,2,"[32, 43]","[34, 45]",broken,46,2023-05-19T10:01:00,46,2023-05-19T10:01:00,False
up-32-57,up,close,32,2023-05-19T09:47:00,401.3,57,2023-05-19T10:12:00,505.1,59,2023-05-19T10:14:00,4.152,2.0065,2,"[32, 57]","[34, 59]",broken,61,2023-05-19T10:16:00,61,2023-05-19T10:16:00,False
up-43-57,up,close,43,2023-05-19T09:58:00,490.85,57,2023-05-19T10:12:00,505.1,59,2023-05-19T10:14:00,1.0178571428571428,2.45425,2,"[43, 57]","[45, 59]",broken,63,2023-05-19T10:18:00,63,2023-05-19T10:18:00,False
up-13-63,up,close,13,2023-05-19T09:28:00,336.2,63,2023-05-19T10:18:00,494.7,65,2023-05-19T10:20:00,3.17,1.681,3,"[13, 18, 63]","[15, 20, 65]",broken,72,2023-05-19T10:27:00,72,2023-05-19T10:27:00,False
up-18-63,up,close,18,2023-05-19T09:33:00,351.65,63,2023-05-19T10:18:00,494.7,65,2023-05-19T10:20:00,3.1788888888888893,1.7582499999999999,2,"[18, 63]","[20, 65]",broken,72,2023-05-19T10:27:00,72,2023-05-19T10:27:00,False
up-32-63,up,close,32,2023-05-19T09:47:00,401.3,63,2023-05-19T10:18:00,494.7,65,2023-05-19T10:20:00,3.012903225806451,2.0065,2,"[32, 63]","[34, 65]",broken,72,2023-05-19T10:27:00,72,2023-05-19T10:27:00,False
up-43-63,up,close,43,2023-05-19T09:58:00,490.85,63,2023-05-19T10:18:00,494.7,65,2023-05-19T10:20:00,0.19249999999999828,2.45425,2,"[43, 63]","[45, 65]",broken,75,2023-05-19T10:30:00,75,2023-05-19T10:30:00,False
up-63-67,up,close,63,2023-05-19T10:18:00,494.7,67,2023-05-19T10:22:00,522.0,69,2023-05-19T10:24:00,6.825000000000003,2.4735,2,"[63, 67]","[65, 69]",broken,70,2023-05-19T10:25:00,70,2023-05-19T10:25:00,False
up-13-78,up,close,13,2023-05-19T09:28:00,336.2,78,2023-05-19T10:33:00,486.2,80,2023-05-19T10:35:00,2.3076923076923075,1.681,3,"[13, 78, 91]","[15, 80, 93]",broken,94,2023-05-19T10:49:00,94,2023-05-19T10:49:00,False
up-18-78,up,close,18,2023-05-19T09:33:00,351.65,78,2023-05-19T10:33:00,486.2,80,2023-05-19T10:35:00,2.2425,1.7582499999999999,3,"[18, 78, 91]","[20, 80, 93]",broken,94,2023-05-19T10:49:00,94,2023-05-19T10:49:00,False
up-32-78,up,close,32,2023-05-19T09:47:00,401.3,78,2023-05-19T10:33:00,486.2,80,2023-05-19T10:35:00,1.845652173913043,2.0065,2,"[32, 78]","[34, 80]",broken,96,2023-05-19T10:51:00,96,2023-05-19T10:51:00,False
up-13-91,up,close,13,2023-05-19T09:28:00,336.2,91,2023-05-19T10:46:00,515.55,93,2023-05-19T10:48:00,2.2993589743589737,1.681,3,"[13, 78, 91]","[15, 80, 93]",broken,94,2023-05-19T10:49:00,94,2023-05-19T10:49:00,True
up-18-91,up,close,18,2023-05-19T09:33:00,351.65,91,2023-05-19T10:46:00,515.55,93,2023-05-19T10:48:00,2.2452054794520544,1.7582499999999999,3,"[18, 78, 91]","[20, 80, 93]",broken,94,2023-05-19T10:49:00,94,2023-05-19T10:49:00,False
up-78-91,up,close,78,2023-05-19T10:33:00,486.2,91,2023-05-19T10:46:00,515.55,93,2023-05-19T10:48:00,2.257692307692305,2.431,2,"[78, 91]","[80, 93]",broken,94,2023-05-19T10:49:00,94,2023-05-19T10:49:00,False
up-13-98,up,close,13,2023-05-19T09:28:00,336.2,98,2023-05-19T10:53:00,506.5,100,2023-05-19T10:55:00,2.0035294117647062,1.681,2,"[13, 98]","[15, 100]",broken,103,2023-05-19T10:58:00,103,2023-05-19T10:58:00,False
up-18-98,up,close,18,2023-05-19T09:33:00,351.65,98,2023-05-19T10:53:00,506.5,100,2023-05-19T10:55:00,1.9356250000000004,1.7582499999999999,2,"[18, 98]","[20, 100]",broken,103,2023-05-19T10:58:00,103,2023-05-19T10:58:00,False
up-32-98,up,close,32,2023-05-19T09:47:00,401.3,98,2023-05-19T10:53:00,506.5,100,2023-05-19T10:55:00,1.5939393939393938,2.0065,2,"[32, 98]","[34, 100]",broken,103,2023-05-19T10:58:00,103,2023-05-19T10:58:00,False
up-78-98,up,close,78,2023-05-19T10:33:00,486.2,98,2023-05-19T10:53:00,506.5,100,2023-05-19T10:55:00,1.0150000000000006,2.431,2,"[78, 98]","[80, 100]",broken,104,2023-05-19T10:59:00,104,2023-05-19T10:59:00,False
up-13-107,up,close,13,2023-05-19T09:28:00,336.2,107,2023-05-19T11:02:00,495.3,109,2023-05-19T11:04:00,1.692553191489362,1.681,2,"[13, 107]","[15, 109]",broken,111,2023-05-19T11:06:00,111,2023-05-19T11:06:00,False
up-18-107,up,close,18,2023-05-19T09:33:00,351.65,107,2023-05-19T11:02:00,495.3,109,2023-05-19T11:04:00,1.6140449438202251,1.7582499999999999,2,"[18, 107]","[20, 109]",broken,111,2023-05-19T11:06:00,111,2023-05-19T11:06:00,False
up-32-107,up,close,32,2023-05-19T09:47:00,401.3,107,2023-05-19T11:02:00,495.3,109,2023-05-19T11:04:00,1.2533333333333334,2.0065,3,"[32, 107, 111]","[34, 109, 113]",broken,118,2023-05-19T11:13:00,118,2023-05-19T11:13:00,False
up-78-107,up,close,78,2023-05-19T10:33:00,486.2,107,2023-05-19T11:02:00,495.3,109,2023-05-19T11:04:00,0.31379310344827666,2.431,3,"[78, 107, 111]","[80, 109, 113]",broken,119,2023-05-19T11:14:00,119,2023-05-19T11:14:00,False
up-13-111,up,close,13,2023-05-19T09:28:00,336.2,111,2023-05-19T11:06:00,498.4,113,2023-05-19T11:08:00,1.6551020408163264,1.681,2,"[13, 111]","[15, 113]",broken,116,2023-05-19T11:11:00,116,2023-05-19T11:11:00,False
up-18-111,up,close,18,2023-05-19T09:33:00,351.65,111,2023-05-19T11:06:00,498.4,113,2023-05-19T11:08:00,1.5779569892473118,1.7582499999999999,2,"[18, 111]","[20, 113]",broken,118,2023-05-19T11:13:00,118,2023-05-19T11:13:00,False
up-32-111,up,close,32,2023-05-19T09:47:00,401.3,111,2023-05-19T11:06:00,498.4,113,2023-05-19T11:08:00,1.2291139240506326,2.0065,3,"[32, 107, 111]","[34, 109, 113]",broken,118,2023-05-19T11:13:00,118,2023-05-19T11:13:00,True
