bar,timestamp,close,sma,ema,rsi,macd,macd_signal,macd_histogram,atr,vwap,roc,cci,vwap_status
1,2023-05-19T09:16:00,347.1,,,,,,,,,,,missing_volume
2,2023-05-19T09:17:00,358.85,,,,,,,,,,,missing_volume
3,2023-05-19T09:18:00,369.0,,,,,,,,,,,missing_volume
4,2023-05-19T09:19:00,366.3,,,,,,,,,,,missing_volume
5,2023-05-19T09:20:00,357.65,,,,,,,,,,,missing_volume
6,2023-05-19T09:21:00,378.9,,,,,,,,,,,missing_volume
7,2023-05-19T09:22:00,359.45,,,,,,,,,,,missing_volume
8,2023-05-19T09:23:00,357.1,,,,,,,,,,,missing_volume
9,2023-05-19T09:24:00,362.35,,,,,,,,,,,missing_volume
10,2023-05-19T09:25:00,348.15,,,,,,,,,,,missing_volume
11,2023-05-19T09:26:00,342.6,,,,,,,,,,,missing_volume
12,2023-05-19T09:27:00,344.15,,,,,,,,,,,missing_volume
13,2023-05-19T09:28:00,336.2,,,,,,,,,-3.1403053874964115,,missing_volume
14,2023-05-19T09:29:00,341.7,,,,,,,16.467857142857145,,-4.77915563605964,,missing_volume
15,2023-05-19T09:30:00,343.65,,,48.541226215644805,,,,16.291581632653063,,-6.869918699186995,,missing_volume
16,2023-05-19T09:31:00,354.65,,,53.226903178122676,,,,16.117182944606416,,-3.180453180453191,,missing_volume
17,2023-05-19T09:32:00,358.6,,,54.817896834201434,,,,15.883812734277388,,0.2656228156018514,,missing_volume
18,2023-05-19T09:33:00,351.65,,,51.498642749724425,,,,15.845683253257572,,-7.191871206122991,,missing_volume
19,2023-05-19T09:34:00,356.9,,,53.77556860632246,,,,15.642420163739175,,-0.7094171651133685,,missing_volume
20,2023-05-19T09:35:00,358.9,354.6925,354.6925,54.64901665889831,,,,15.278675866329234,,0.504060487258462,52.740267831516476,missing_volume
21,2023-05-19T09:36:00,371.0,355.8875,356.24559523809523,59.62030135164212,,,,15.10519901873429,,2.3871947012556793,97.69610626473211,missing_volume
22,2023-05-19T09:37:00,393.75,357.6325,359.8174433106576,66.9548081873097,,,,16.740541945967554,,13.097802671262393,211.57501667298357,missing_volume
23,2023-05-19T09:38:00,400.05,359.185,363.6491153763093,68.65285503649342,,,,16.869788949827015,,16.768826619964972,251.9039074960128,missing_volume
24,2023-05-19T09:39:00,402.6,361.0,367.3587234357084,69.33961243344915,,,,16.311232596267942,,16.983873311056243,202.0660115898211,missing_volume
25,2023-05-19T09:40:00,416.75,363.95500000000004,372.0626545370695,72.88898850756297,,,,16.25685883939166,,23.958953004164197,195.8931368813242,missing_volume
26,2023-05-19T09:41:00,409.4,365.48,375.61859220020574,68.45595328147598,19.73267248064741,,,16.4242260651494,,19.812701199882945,165.94605723697737,missing_volume
27,2023-05-19T09:42:00,417.45,368.38,379.60253580018616,70.5673137432236,20.88889950641675,,,16.361781346210158,,21.475338280226985,138.25938204883641,missing_volume
28,2023-05-19T09:43:00,409.5,371.0,382.44991334302557,65.87767718523236,20.922537210293967,,,15.957368392909432,,15.465952347384748,113.66581963281584,missing_volume
29,2023-05-19T09:44:00,415.05,373.635,385.55468350083265,67.50139607735336,21.15319310694656,,,16.185413507701615,,15.74177356385944,92.7353759978532,missing_volume
30,2023-05-19T09:45:00,415.0,376.9775,388.3589993578962,67.47024692301368,21.08885578259236,,,15.49002682858007,,18.015071804350935,90.0589324903255,missing_volume
31,2023-05-19T09:46:00,420.0,380.84749999999997,391.37242799047755,69.0102995679729,21.19698060502037,,,14.93716776939578,,17.68002241524238,89.12065077160958,missing_volume
32,2023-05-19T09:47:00,401.3,383.70500000000004,392.3179110390035,57.958602097633126,19.548394860711596,,,15.77022721443894,,11.813875731401513,55.77349739332098,missing_volume
33,2023-05-19T09:48:00,428.6,388.325,395.77334808290794,66.41470044716924,20.211771900233657,,,16.825925270550446,,15.525606469002696,83.47612701233314,missing_volume
34,2023-05-19T09:49:00,429.45,392.7125,398.9806482654881,66.63969080504295,20.568984430910632,20.59025443153037,-0.021270000619736606,16.588359179796843,,9.066666666666666,98.88940613154219,missing_volume
35,2023-05-19T09:50:00,441.65,397.6125,403.04439604972737,69.76994238570661,21.58766679049046,20.789736903322385,0.797929887168074,16.48919066695421,,10.39870016247968,120.65330374282209,missing_volume
36,2023-05-19T09:51:00,457.25,402.7425,408.2068345211819,73.2290382701939,23.384210897961964,21.308631702250302,2.0755791957116614,17.254248476457484,,13.57426726279185,166.1999592872287,missing_volume
37,2023-05-19T09:52:00,461.95,407.90999999999997,413.3252312334503,74.18736565386847,24.900201741160856,22.026945710032415,2.8732560311284416,17.27894501385338,,10.845830833833237,160.44694220275747,missing_volume
38,2023-05-19T09:53:00,469.6,413.8075,418.6847330207408,75.71141952699988,26.414437282229414,22.904444024471815,3.5099932577576,17.823306084292422,,14.704445530043975,177.3088008525549,missing_volume
39,2023-05-19T09:54:00,471.55,419.53999999999996,423.7195203520988,76.09880687289814,27.45534048640303,23.814623316858057,3.640717169544974,17.70378422112868,,12.959635884537079,160.7190183228226,missing_volume
40,2023-05-19T09:55:00,480.0,425.59499999999997,429.0795660328513,77.75454401089128,28.632055640825058,24.77810978165146,3.8539458591735993,17.449942491048056,,17.216117216117222,154.48062548328906,missing_volume
41,2023-05-19T09:56:00,503.6,432.225,436.1767502201988,81.59035500927594,31.11031331861068,26.044550489043303,5.065762829567376,18.835660884544623,,21.33477894229612,170.518178634663,missing_volume
42,2023-05-19T09:57:00,503.05,437.68999999999994,442.54563115160846,81.23878269743302,32.65356006538161,27.366352404310966,5.287207661070646,18.668827964220007,,21.216867469879517,156.6361692015208,missing_volume
43,2023-05-19T09:58:00,490.85,442.23,447.1460472324077,73.65699430168343,32.51731680355965,28.396545284160702,4.12077151939895,18.88176882391858,,16.869047619047617,122.25748969818491,missing_volume
44,2023-05-19T09:59:00,499.6,447.08000000000004,452.14166178170217,75.42823472764331,32.73801149240501,29.264838525809562,3.4731729665954454,18.561642479352965,,24.49538998255669,111.3258888871138,missing_volume
45,2023-05-19T10:00:00,506.05,451.54499999999996,457.27578923106387,76.67332645186028,33.0523675991368,30.02234434047501,3.0300232586617923,18.146525159399182,,18.070461969202057,113.5260273039866,missing_volume
46,2023-05-19T10:01:00,506.2,456.38500000000005,461.93523787572445,76.70289181602723,32.93395865028975,30.60466720243796,2.3292914478517943,17.646773362299243,,17.871696355803945,100.11821673629258,missing_volume
47,2023-05-19T10:02:00,541.95,462.61,469.55569141136976,82.4214141931659,35.31772419007865,31.5472785999661,3.7704455901125513,19.372003836420728,,22.710290954375644,140.88277387457725,missing_volume
48,2023-05-19T10:03:00,529.65,468.6175,475.2789588960012,75.55023351965102,35.8016689954394,32.39815667906076,3.403512316378638,19.149003562390675,,15.833788955713501,129.57133790666455,missing_volume
49,2023-05-19T10:04:00,538.15,474.77250000000004,481.266677096382,76.97854390191122,36.450894481172895,33.20870423948319,3.2421902416897055,19.491931879362774,,16.495291698235736,115.93609046439234,missing_volume
50,2023-05-19T10:05:00,570.95,482.57,489.80794594434565,81.4756276954178,39.16067633488234,34.39909865856302,4.76157767631932,20.510365316551148,,21.582197614991493,149.38786867000556,missing_volume
51,2023-05-19T10:06:00,560.7,489.605,496.5595701401223,76.44978203906852,40.01978546431417,35.52323601971325,4.496549444600916,21.352482079654635,,18.905736401229987,152.63723569428868,missing_volume
52,2023-05-19T10:07:00,552.5,497.16499999999996,501.8872301267773,72.59193945756246,39.58267967723867,36.33512475121834,3.247554926020335,21.9487333596793,,15.104166666666675,109.59568435871965,missing_volume
53,2023-05-19T10:08:00,559.25,503.69750000000005,507.3503510670842,73.7655262453938,39.32759474802293,36.93361875057926,2.3939759974436754,21.698823833987916,,11.05043685464655,106.16482456096338,missing_volume
54,2023-05-19T10:09:00,563.85,510.4175,512.7312700130761,74.5648272172896,39.04651573227818,37.35619814691904,1.6903175853591392,21.22747927441735,,12.086273730245512,104.72626083233824,missing_volume
55,2023-05-19T10:10:00,567.6,516.715,517.9568633451642,75.2274506733751,38.68046789108462,37.621052095752155,1.0594157953324626,21.054087897673252,,15.636141387389223,109.95216009448528,missing_volume
56,2023-05-19T10:11:00,543.5,521.0275,520.3895430265771,63.73571935986051,36.03036809651894,37.302915295905514,-1.2725471993865725,21.964510190696586,,8.787029623698949,61.2663710425906,missing_volume
57,2023-05-19T10:12:00,505.1,523.1850000000001,518.933396071665,50.49874883169382,30.48022873500429,35.93837798372527,-5.458149248720979,23.138473748503973,,-0.18772848532753184,-10.263832524524501,missing_volume
58,2023-05-19T10:13:00,531.35,526.2725,520.1159297791255,57.06345866475977,27.8784930103418,34.32640098904857,-6.447907978706773,24.29643990932512,,4.968391939944694,9.854477487400152,missing_volume
59,2023-05-19T10:14:00,530.75,529.2325,521.1286983715897,56.87778570298456,25.474529203152144,32.55602663186929,-7.081497428717142,23.807408487230465,,-2.066611311006561,12.661089758082493,missing_volume
